2020-Oct-10 11:50:11.629  INFO restartedMain c.f.FelkinAtdenApplication:55 - Starting FelkinAtdenApplication on DESKTOP-9CBD24B with PID 1500 (C:\Users\Piuta\Documents\Prosonal_project\Back_End\felkin_atden\build\classes\java\main started by Piuta in C:\Users\Piuta\Documents\Prosonal_project\Back_End\felkin_atden)
2020-Oct-10 11:51:01.480  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:187 - Finished Spring Data repository scanning in 15ms. Found 0 JDBC repository interfaces.
2020-Oct-10 11:51:01.489  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:249 - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-Oct-10 11:51:01.490  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:127 - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
2020-Oct-10 11:51:01.499  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:187 - Finished Spring Data repository scanning in 4ms. Found 0 JPA repository interfaces.
2020-Oct-10 11:51:02.063  INFO restartedMain o.s.b.w.e.t.TomcatWebServer:108 - Tomcat initialized with port(s): 8080 (http)
2020-Oct-10 11:51:02.078  INFO restartedMain o.a.c.c.StandardService:173 - Starting service [Tomcat]
2020-Oct-10 11:51:02.079  INFO restartedMain o.a.c.c.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-Oct-10 11:51:02.284  INFO restartedMain o.a.c.c.C.[.[.[/]:173 - Initializing Spring embedded WebApplicationContext
2020-Oct-10 11:51:02.285  INFO restartedMain o.s.b.w.s.c.ServletWebServerApplicationContext:285 - Root WebApplicationContext: initialization completed in 1724 ms
2020-Oct-10 11:51:02.539  INFO restartedMain o.s.s.c.ThreadPoolTaskExecutor:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-Oct-10 11:51:02.549  INFO restartedMain c.z.h.HikariDataSource:110 - HikariPool-1 - Starting...
2020-Oct-10 11:51:03.125  INFO restartedMain c.z.h.HikariDataSource:123 - HikariPool-1 - Start completed.
2020-Oct-10 11:51:03.192  INFO task-1 o.h.j.i.u.LogHelper:31 - HHH000204: Processing PersistenceUnitInfo [name: default]
2020-Oct-10 11:51:03.234  WARN restartedMain o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration:220 - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-Oct-10 11:51:03.243  INFO task-1 o.h.Version:44 - HHH000412: Hibernate ORM core version 5.4.21.Final
2020-Oct-10 11:51:03.405  INFO task-1 o.h.a.c.Version:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-Oct-10 11:51:03.514  INFO task-1 o.h.d.Dialect:170 - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2020-Oct-10 11:51:04.222  INFO task-1 o.h.e.t.j.p.i.JtaPlatformInitiator:52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-Oct-10 11:51:04.231  INFO task-1 o.s.o.j.LocalContainerEntityManagerFactoryBean:416 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-Oct-10 11:51:04.414  INFO restartedMain o.s.b.d.a.OptionalLiveReloadServer:58 - LiveReload server is running on port 35729
2020-Oct-10 11:51:04.419  INFO restartedMain o.s.b.a.e.w.EndpointLinksResolver:58 - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-Oct-10 11:51:04.466  INFO restartedMain o.s.b.w.e.t.TomcatWebServer:220 - Tomcat started on port(s): 8080 (http) with context path ''
2020-Oct-10 11:51:04.469  INFO restartedMain o.s.d.r.c.DeferredRepositoryInitializationListener:49 - Triggering deferred initialization of Spring Data repositories…
2020-Oct-10 11:51:04.469  INFO restartedMain o.s.d.r.c.DeferredRepositoryInitializationListener:53 - Spring Data repositories initialized!
2020-Oct-10 11:51:04.483  INFO restartedMain c.f.FelkinAtdenApplication:61 - Started FelkinAtdenApplication in 4.333 seconds (JVM running for 5.151)
2020-Oct-10 11:51:04.997  INFO RMI TCP Connection(1)-192.168.1.6 o.a.c.c.C.[.[.[/]:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-Oct-10 11:51:04.998  INFO RMI TCP Connection(1)-192.168.1.6 o.s.w.s.DispatcherServlet:525 - Initializing Servlet 'dispatcherServlet'
2020-Oct-10 11:51:05.007  INFO RMI TCP Connection(1)-192.168.1.6 o.s.w.s.DispatcherServlet:547 - Completed initialization in 6 ms
2020-Oct-10 23:17:38.872  INFO restartedMain c.f.FelkinAtdenApplication:55 - Starting FelkinAtdenApplication on DESKTOP-9CBD24B with PID 2876 (C:\Users\Piuta\Documents\Prosonal_project\Back_End\felkin_atden\build\classes\java\main started by Piuta in C:\Users\Piuta\Documents\Prosonal_project\Back_End\felkin_atden)
2020-Oct-10 23:17:38.877  INFO restartedMain c.f.FelkinAtdenApplication:651 - No active profile set, falling back to default profiles: default
2020-Oct-10 23:17:38.950  INFO restartedMain o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor:225 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-Oct-10 23:17:38.951  INFO restartedMain o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor:225 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-Oct-10 23:17:40.379  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:249 - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-Oct-10 23:17:40.381  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:127 - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2020-Oct-10 23:17:40.414  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:187 - Finished Spring Data repository scanning in 22ms. Found 0 JDBC repository interfaces.
2020-Oct-10 23:17:40.430  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:249 - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-Oct-10 23:17:40.431  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:127 - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
2020-Oct-10 23:17:40.445  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:187 - Finished Spring Data repository scanning in 5ms. Found 0 JPA repository interfaces.
2020-Oct-10 23:17:41.294  INFO restartedMain o.s.b.w.e.t.TomcatWebServer:108 - Tomcat initialized with port(s): 8080 (http)
2020-Oct-10 23:17:41.309  INFO restartedMain o.a.c.c.StandardService:173 - Starting service [Tomcat]
2020-Oct-10 23:17:41.310  INFO restartedMain o.a.c.c.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-Oct-10 23:17:41.475  INFO restartedMain o.a.c.c.C.[.[.[/]:173 - Initializing Spring embedded WebApplicationContext
2020-Oct-10 23:17:41.476  INFO restartedMain o.s.b.w.s.c.ServletWebServerApplicationContext:285 - Root WebApplicationContext: initialization completed in 2525 ms
2020-Oct-10 23:17:41.844  INFO restartedMain o.s.s.c.ThreadPoolTaskExecutor:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-Oct-10 23:17:41.868  INFO restartedMain c.z.h.HikariDataSource:110 - HikariPool-1 - Starting...
2020-Oct-10 23:17:42.728  INFO restartedMain c.z.h.HikariDataSource:123 - HikariPool-1 - Start completed.
2020-Oct-10 23:17:42.797  INFO task-1 o.h.j.i.u.LogHelper:31 - HHH000204: Processing PersistenceUnitInfo [name: default]
2020-Oct-10 23:17:42.858  WARN restartedMain o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration:220 - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-Oct-10 23:17:42.894  INFO task-1 o.h.Version:44 - HHH000412: Hibernate ORM core version 5.4.21.Final
2020-Oct-10 23:17:43.206  INFO task-1 o.h.a.c.Version:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-Oct-10 23:17:43.399  INFO task-1 o.h.d.Dialect:170 - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2020-Oct-10 23:17:44.544  INFO task-1 o.h.e.t.j.p.i.JtaPlatformInitiator:52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-Oct-10 23:17:44.556  INFO task-1 o.s.o.j.LocalContainerEntityManagerFactoryBean:416 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-Oct-10 23:17:44.913  INFO restartedMain o.s.b.d.a.OptionalLiveReloadServer:58 - LiveReload server is running on port 35729
2020-Oct-10 23:17:44.922  INFO restartedMain o.s.b.a.e.w.EndpointLinksResolver:58 - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-Oct-10 23:17:44.990  INFO restartedMain o.s.b.w.e.t.TomcatWebServer:220 - Tomcat started on port(s): 8080 (http) with context path ''
2020-Oct-10 23:17:44.992  INFO restartedMain o.s.d.r.c.DeferredRepositoryInitializationListener:49 - Triggering deferred initialization of Spring Data repositories…
2020-Oct-10 23:17:44.993  INFO restartedMain o.s.d.r.c.DeferredRepositoryInitializationListener:53 - Spring Data repositories initialized!
2020-Oct-10 23:17:45.011  INFO restartedMain c.f.FelkinAtdenApplication:61 - Started FelkinAtdenApplication in 6.673 seconds (JVM running for 7.512)
2020-Oct-10 23:17:45.560  INFO RMI TCP Connection(3)-192.168.1.6 o.a.c.c.C.[.[.[/]:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-Oct-10 23:17:45.561  INFO RMI TCP Connection(3)-192.168.1.6 o.s.w.s.DispatcherServlet:525 - Initializing Servlet 'dispatcherServlet'
2020-Oct-10 23:17:45.570  INFO RMI TCP Connection(3)-192.168.1.6 o.s.w.s.DispatcherServlet:547 - Completed initialization in 9 ms
2020-Oct-10 23:24:38.945  INFO restartedMain c.f.FelkinAtdenApplication:55 - Starting FelkinAtdenApplication on DESKTOP-9CBD24B with PID 9568 (C:\Users\Piuta\Documents\Prosonal_project\Back_End\felkin_atden\build\classes\java\main started by Piuta in C:\Users\Piuta\Documents\Prosonal_project\Back_End\felkin_atden)
2020-Oct-10 23:24:38.968  INFO restartedMain c.f.FelkinAtdenApplication:651 - No active profile set, falling back to default profiles: default
2020-Oct-10 23:24:39.042  INFO restartedMain o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor:225 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-Oct-10 23:24:39.043  INFO restartedMain o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor:225 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-Oct-10 23:24:40.000  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:249 - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-Oct-10 23:24:40.001  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:127 - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2020-Oct-10 23:24:40.026  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:187 - Finished Spring Data repository scanning in 18ms. Found 0 JDBC repository interfaces.
2020-Oct-10 23:24:40.037  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:249 - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-Oct-10 23:24:40.037  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:127 - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
2020-Oct-10 23:24:40.048  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:187 - Finished Spring Data repository scanning in 4ms. Found 0 JPA repository interfaces.
2020-Oct-10 23:24:40.634  INFO restartedMain o.s.b.w.e.t.TomcatWebServer:108 - Tomcat initialized with port(s): 8080 (http)
2020-Oct-10 23:24:40.643  INFO restartedMain o.a.c.c.StandardService:173 - Starting service [Tomcat]
2020-Oct-10 23:24:40.644  INFO restartedMain o.a.c.c.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-Oct-10 23:24:40.784  INFO restartedMain o.a.c.c.C.[.[.[/]:173 - Initializing Spring embedded WebApplicationContext
2020-Oct-10 23:24:40.785  INFO restartedMain o.s.b.w.s.c.ServletWebServerApplicationContext:285 - Root WebApplicationContext: initialization completed in 1741 ms
2020-Oct-10 23:24:41.057  INFO restartedMain o.s.s.c.ThreadPoolTaskExecutor:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-Oct-10 23:24:41.066  INFO restartedMain c.z.h.HikariDataSource:110 - HikariPool-1 - Starting...
2020-Oct-10 23:24:41.603  INFO restartedMain c.z.h.HikariDataSource:123 - HikariPool-1 - Start completed.
2020-Oct-10 23:24:41.645  INFO task-1 o.h.j.i.u.LogHelper:31 - HHH000204: Processing PersistenceUnitInfo [name: default]
2020-Oct-10 23:24:41.684  WARN restartedMain o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration:220 - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-Oct-10 23:24:41.693  INFO task-1 o.h.Version:44 - HHH000412: Hibernate ORM core version 5.4.21.Final
2020-Oct-10 23:24:41.872  INFO task-1 o.h.a.c.Version:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-Oct-10 23:24:41.986  INFO task-1 o.h.d.Dialect:170 - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2020-Oct-10 23:24:42.763  INFO task-1 o.h.e.t.j.p.i.JtaPlatformInitiator:52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-Oct-10 23:24:42.773  INFO task-1 o.s.o.j.LocalContainerEntityManagerFactoryBean:416 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-Oct-10 23:24:42.892  INFO restartedMain o.s.b.d.a.OptionalLiveReloadServer:58 - LiveReload server is running on port 35729
2020-Oct-10 23:24:42.897  INFO restartedMain o.s.b.a.e.w.EndpointLinksResolver:58 - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-Oct-10 23:24:42.950  INFO restartedMain o.s.b.w.e.t.TomcatWebServer:220 - Tomcat started on port(s): 8080 (http) with context path ''
2020-Oct-10 23:24:42.953  INFO restartedMain o.s.d.r.c.DeferredRepositoryInitializationListener:49 - Triggering deferred initialization of Spring Data repositories…
2020-Oct-10 23:24:42.953  INFO restartedMain o.s.d.r.c.DeferredRepositoryInitializationListener:53 - Spring Data repositories initialized!
2020-Oct-10 23:24:42.969  INFO restartedMain c.f.FelkinAtdenApplication:61 - Started FelkinAtdenApplication in 4.542 seconds (JVM running for 5.399)
2020-Oct-10 23:24:43.635  INFO RMI TCP Connection(3)-192.168.1.6 o.a.c.c.C.[.[.[/]:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-Oct-10 23:24:43.636  INFO RMI TCP Connection(3)-192.168.1.6 o.s.w.s.DispatcherServlet:525 - Initializing Servlet 'dispatcherServlet'
2020-Oct-10 23:24:43.646  INFO RMI TCP Connection(3)-192.168.1.6 o.s.w.s.DispatcherServlet:547 - Completed initialization in 7 ms
2020-Oct-10 23:46:54.156  INFO restartedMain c.f.FelkinAtdenApplication:55 - Starting FelkinAtdenApplication on DESKTOP-9CBD24B with PID 10912 (C:\Users\Piuta\Documents\Prosonal_project\Back_End\felkin_atden\build\classes\java\main started by Piuta in C:\Users\Piuta\Documents\Prosonal_project\Back_End\felkin_atden)
2020-Oct-10 23:46:54.163  INFO restartedMain c.f.FelkinAtdenApplication:651 - No active profile set, falling back to default profiles: default
2020-Oct-10 23:46:54.248  INFO restartedMain o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor:225 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-Oct-10 23:46:54.248  INFO restartedMain o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor:225 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-Oct-10 23:46:55.884  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:249 - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-Oct-10 23:46:55.885  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:127 - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2020-Oct-10 23:46:55.915  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:187 - Finished Spring Data repository scanning in 21ms. Found 0 JDBC repository interfaces.
2020-Oct-10 23:46:55.929  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:249 - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-Oct-10 23:46:55.930  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:127 - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
2020-Oct-10 23:46:55.943  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:187 - Finished Spring Data repository scanning in 5ms. Found 0 JPA repository interfaces.
2020-Oct-10 23:46:56.916  INFO restartedMain o.s.b.w.e.t.TomcatWebServer:108 - Tomcat initialized with port(s): 8080 (http)
2020-Oct-10 23:46:56.930  INFO restartedMain o.a.c.c.StandardService:173 - Starting service [Tomcat]
2020-Oct-10 23:46:56.931  INFO restartedMain o.a.c.c.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-Oct-10 23:46:57.090  INFO restartedMain o.a.c.c.C.[.[.[/]:173 - Initializing Spring embedded WebApplicationContext
2020-Oct-10 23:46:57.091  INFO restartedMain o.s.b.w.s.c.ServletWebServerApplicationContext:285 - Root WebApplicationContext: initialization completed in 2843 ms
2020-Oct-10 23:46:57.413  INFO restartedMain o.s.s.c.ThreadPoolTaskExecutor:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-Oct-10 23:46:57.424  INFO restartedMain c.z.h.HikariDataSource:110 - HikariPool-1 - Starting...
2020-Oct-10 23:46:58.253  INFO restartedMain c.z.h.HikariDataSource:123 - HikariPool-1 - Start completed.
2020-Oct-10 23:46:58.311  INFO task-1 o.h.j.i.u.LogHelper:31 - HHH000204: Processing PersistenceUnitInfo [name: default]
2020-Oct-10 23:46:58.356  WARN restartedMain o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration:220 - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-Oct-10 23:46:58.400  INFO task-1 o.h.Version:44 - HHH000412: Hibernate ORM core version 5.4.21.Final
2020-Oct-10 23:46:58.707  INFO task-1 o.h.a.c.Version:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-Oct-10 23:46:58.857  INFO task-1 o.h.d.Dialect:170 - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2020-Oct-10 23:46:59.783  INFO task-1 o.h.e.t.j.p.i.JtaPlatformInitiator:52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-Oct-10 23:46:59.794  INFO task-1 o.s.o.j.LocalContainerEntityManagerFactoryBean:416 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-Oct-10 23:46:59.989  INFO restartedMain o.s.b.d.a.OptionalLiveReloadServer:58 - LiveReload server is running on port 35729
2020-Oct-10 23:46:59.999  INFO restartedMain o.s.b.a.e.w.EndpointLinksResolver:58 - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-Oct-10 23:47:00.068  INFO restartedMain o.s.b.w.e.t.TomcatWebServer:220 - Tomcat started on port(s): 8080 (http) with context path ''
2020-Oct-10 23:47:00.071  INFO restartedMain o.s.d.r.c.DeferredRepositoryInitializationListener:49 - Triggering deferred initialization of Spring Data repositories…
